word,doc
Flauius,Lex Visigothorum.docx
Fundi,Lex Visigothorum.docx
Furius,Lex Visigothorum.docx
Genitor,Lex Visigothorum.docx
Gothi,Lex Visigothorum.docx
Gothicus,Lex Visigothorum.docx
Gothus,Lex Visigothorum.docx
Gratia,Lex Visigothorum.docx
Gratus,Lex Visigothorum.docx
Helius,Lex Visigothorum.docx
Her,Lex Visigothorum.docx
Herius,Lex Visigothorum.docx
Hiericho,Lex Visigothorum.docx
Homna,Lex Visigothorum.docx
Honor,Lex Visigothorum.docx
Horta,Lex Visigothorum.docx
III,Lex Visigothorum.docx
Iacob,Lex Visigothorum.docx
Ianuarius,Lex Visigothorum.docx
Ibis,Lex Visigothorum.docx
Idus,Lex Visigothorum.docx
Iesus,Lex Visigothorum.docx
Ilii,Lex Visigothorum.docx
Ilios,Lex Visigothorum.docx
Ilus,Lex Visigothorum.docx
Ios,Lex Visigothorum.docx
Isaac,Lex Visigothorum.docx
Israhel,Lex Visigothorum.docx
Iudaicus,Lex Visigothorum.docx
Iura,Lex Visigothorum.docx
Jordanes,Lex Visigothorum.docx
Julia,Lex Visigothorum.docx
Justus,Lex Visigothorum.docx
Kal,Lex Visigothorum.docx
Kalendae,Lex Visigothorum.docx
LXX,Lex Visigothorum.docx
Las,Lex Visigothorum.docx
Lazarus,Lex Visigothorum.docx
Leo,Lex Visigothorum.docx
Liber,Lex Visigothorum.docx
Libera,Lex Visigothorum.docx
Libertas,Lex Visigothorum.docx
Liuius,Lex Visigothorum.docx
Loth,Lex Visigothorum.docx
Lucus,Lex Visigothorum.docx
Luna,Lex Visigothorum.docx
Magnus,Lex Visigothorum.docx
Mandalum,Lex Visigothorum.docx
Manes,Lex Visigothorum.docx
Marius,Lex Visigothorum.docx
Martius,Lex Visigothorum.docx
Massa,Lex Visigothorum.docx
Maternus,Lex Visigothorum.docx
Medicus,Lex Visigothorum.docx
Memorius,Lex Visigothorum.docx
Metropolitanus,Lex Visigothorum.docx
Metus,Lex Visigothorum.docx
Modestus,Lex Visigothorum.docx
Mors,Lex Visigothorum.docx
Moyses,Lex Visigothorum.docx
Nepos,Lex Visigothorum.docx
Nisa,Lex Visigothorum.docx
Nisus,Lex Visigothorum.docx
Nocturnus,Lex Visigothorum.docx
Noe,Lex Visigothorum.docx
Novellus,Lex Visigothorum.docx
November,Lex Visigothorum.docx
October,Lex Visigothorum.docx
Omnipotens,Lex Visigothorum.docx
Onus,Lex Visigothorum.docx
Opis,Lex Visigothorum.docx
Ora,Lex Visigothorum.docx
Origo,Lex Visigothorum.docx
Pactius,Lex Visigothorum.docx
Palatinus,Lex Visigothorum.docx
Pales,Lex Visigothorum.docx
Pan,Lex Visigothorum.docx
Paradisus,Lex Visigothorum.docx
Paros,Lex Visigothorum.docx
Pastor,Lex Visigothorum.docx
Patron,Lex Visigothorum.docx
Pecunia,Lex Visigothorum.docx
Peiso,Lex Visigothorum.docx
Penas,Lex Visigothorum.docx
Pentecoste,Lex Visigothorum.docx
Perenna,Lex Visigothorum.docx
Perses,Lex Visigothorum.docx
Pharao,Lex Visigothorum.docx
Pietas,Lex Visigothorum.docx
Pontius,Lex Visigothorum.docx
Porcius,Lex Visigothorum.docx
Portius,Lex Visigothorum.docx
Posis,Lex Visigothorum.docx
Potentia,Lex Visigothorum.docx
Primus,Lex Visigothorum.docx
Prisca,Lex Visigothorum.docx
Probus,Lex Visigothorum.docx
Publicius,Lex Visigothorum.docx
Quinctius,Lex Visigothorum.docx
Quinta,Lex Visigothorum.docx
Quintus,Lex Visigothorum.docx
Rea,Lex Visigothorum.docx
Regia,Lex Visigothorum.docx
Rex,Lex Visigothorum.docx
Romani,Lex Visigothorum.docx
Romanus,Lex Visigothorum.docx
Ruber,Lex Visigothorum.docx
Sacer,Lex Visigothorum.docx
Sacerdos,Lex Visigothorum.docx
Sacrata,Lex Visigothorum.docx
Sagitta,Lex Visigothorum.docx
Salomon,Lex Visigothorum.docx
Salus,Lex Visigothorum.docx
Saul,Lex Visigothorum.docx
Secula,Lex Visigothorum.docx
Secundus,Lex Visigothorum.docx
Sem,Lex Visigothorum.docx
Semus,Lex Visigothorum.docx
September,Lex Visigothorum.docx
Septimius,Lex Visigothorum.docx
Sermo,Lex Visigothorum.docx
Sex,Lex Visigothorum.docx
Sextius,Lex Visigothorum.docx
Sinai,Lex Visigothorum.docx
Sinis,Lex Visigothorum.docx
Sodoma,Lex Visigothorum.docx
Sodomitae,Lex Visigothorum.docx
Sol,Lex Visigothorum.docx
Speratio,Lex Visigothorum.docx
Spes,Lex Visigothorum.docx
Stimula,Lex Visigothorum.docx
Sunion,Lex Visigothorum.docx
Talius,Lex Visigothorum.docx
Tanis,Lex Visigothorum.docx
Tartareus,Lex Visigothorum.docx
Tenii,Lex Visigothorum.docx
Terminus,Lex Visigothorum.docx
Terra,Lex Visigothorum.docx
Tertia,Lex Visigothorum.docx
Toletani,Lex Visigothorum.docx
Toletanus,Lex Visigothorum.docx
Toletum,Lex Visigothorum.docx
Tutor,Lex Visigothorum.docx
Uaria,Lex Visigothorum.docx
Ubii,Lex Visigothorum.docx
Uerus,Lex Visigothorum.docx
Uinius,Lex Visigothorum.docx
Uitia,Lex Visigothorum.docx
Urbis,Lex Visigothorum.docx
VII,Lex Visigothorum.docx
VIII,Lex Visigothorum.docx
Veii,Lex Visigothorum.docx
Vesta,Lex Visigothorum.docx
Victor,Lex Visigothorum.docx
Victoria,Lex Visigothorum.docx
Vincius,Lex Visigothorum.docx
Vindex,Lex Visigothorum.docx
Vindicius,Lex Visigothorum.docx
Vindius,Lex Visigothorum.docx
XII,Lex Visigothorum.docx
XIV,Lex Visigothorum.docx
XVIII,Lex Visigothorum.docx
XXV,Lex Visigothorum.docx
XXX,Lex Visigothorum.docx
abauia,Lex Visigothorum.docx
abauus,Lex Visigothorum.docx
abavunculus,Lex Visigothorum.docx
abdico,Lex Visigothorum.docx
abditum,Lex Visigothorum.docx
abdo,Lex Visigothorum.docx
abeo,Lex Visigothorum.docx
abequito,Lex Visigothorum.docx
abhorreo,Lex Visigothorum.docx
abhorresco,Lex Visigothorum.docx
abicio,Lex Visigothorum.docx
abintus,Lex Visigothorum.docx
abmatertera,Lex Visigothorum.docx
abnego,Lex Visigothorum.docx
abneptis,Lex Visigothorum.docx
abnuo,Lex Visigothorum.docx
abomino,Lex Visigothorum.docx
abominor,Lex Visigothorum.docx
aborsus,Lex Visigothorum.docx
aborto,Lex Visigothorum.docx
abrado,Lex Visigothorum.docx
abrogo,Lex Visigothorum.docx
abscedo,Lex Visigothorum.docx
abscido,Lex Visigothorum.docx
abscondo,Lex Visigothorum.docx
absolute,Lex Visigothorum.docx
absolutio,Lex Visigothorum.docx
absolutus,Lex Visigothorum.docx
absolvo,Lex Visigothorum.docx
absorbeo,Lex Visigothorum.docx
absque,Lex Visigothorum.docx
abstineo,Lex Visigothorum.docx
abstraho,Lex Visigothorum.docx
absum,Lex Visigothorum.docx
abutor,Lex Visigothorum.docx
accedo,Lex Visigothorum.docx
acceptio,Lex Visigothorum.docx
accepto,Lex Visigothorum.docx
acceptum,Lex Visigothorum.docx
acceptus,Lex Visigothorum.docx
accido,Lex Visigothorum.docx
accipio,Lex Visigothorum.docx
accola,Lex Visigothorum.docx
accommodo,Lex Visigothorum.docx
accusatio,Lex Visigothorum.docx
accusator,Lex Visigothorum.docx
accuso,Lex Visigothorum.docx
acies,Lex Visigothorum.docx
acquiesco,Lex Visigothorum.docx
acquiro,Lex Visigothorum.docx
acquisitio,Lex Visigothorum.docx
actio,Lex Visigothorum.docx
actum,Lex Visigothorum.docx
actus,Lex Visigothorum.docx
acumen,Lex Visigothorum.docx
acuo,Lex Visigothorum.docx
adamita,Lex Visigothorum.docx
adaquo,Lex Visigothorum.docx
adcelero,Lex Visigothorum.docx
adcresco,Lex Visigothorum.docx
addico,Lex Visigothorum.docx
addisco,Lex Visigothorum.docx
addo,Lex Visigothorum.docx
adduco,Lex Visigothorum.docx
adeo,Lex Visigothorum.docx
adfectus,Lex Visigothorum.docx
adfero,Lex Visigothorum.docx
adfinitas,Lex Visigothorum.docx
adfirmo,Lex Visigothorum.docx
adflatus,Lex Visigothorum.docx
adfligo,Lex Visigothorum.docx
adfluo,Lex Visigothorum.docx
adgravo,Lex Visigothorum.docx
adgredior,Lex Visigothorum.docx
adgrego,Lex Visigothorum.docx
adhibeo,Lex Visigothorum.docx
adhuc,Lex Visigothorum.docx
adicio,Lex Visigothorum.docx
adimo,Lex Visigothorum.docx
adimpleo,Lex Visigothorum.docx
adinventio,Lex Visigothorum.docx
adipiscor,Lex Visigothorum.docx
aditus,Lex Visigothorum.docx
adjunctus,Lex Visigothorum.docx
adjungo,Lex Visigothorum.docx
adjuratio,Lex Visigothorum.docx
adjuto,Lex Visigothorum.docx
adjutor,Lex Visigothorum.docx
adjutorium,Lex Visigothorum.docx
adligatio,Lex Visigothorum.docx
adligo,Lex Visigothorum.docx
adloquium,Lex Visigothorum.docx
adluo,Lex Visigothorum.docx
administratio,Lex Visigothorum.docx
administratorius,Lex Visigothorum.docx
administro,Lex Visigothorum.docx
admisceo,Lex Visigothorum.docx
admissum,Lex Visigothorum.docx
admitto,Lex Visigothorum.docx
admixtio,Lex Visigothorum.docx
admoneo,Lex Visigothorum.docx
admonitio,Lex Visigothorum.docx
adnecto,Lex Visigothorum.docx
adnepos,Lex Visigothorum.docx
adneptis,Lex Visigothorum.docx
adnitor,Lex Visigothorum.docx
adnotatio,Lex Visigothorum.docx
adnoto,Lex Visigothorum.docx
adnumeratio,Lex Visigothorum.docx
adnuo,Lex Visigothorum.docx
adolesco,Lex Visigothorum.docx
adoro,Lex Visigothorum.docx
adpeto,Lex Visigothorum.docx
adque,Lex Visigothorum.docx
adscribo,Lex Visigothorum.docx
adsensio,Lex Visigothorum.docx
adsensus,Lex Visigothorum.docx
adsequor,Lex Visigothorum.docx
adsertio,Lex Visigothorum.docx
adsertor,Lex Visigothorum.docx
adsiduus,Lex Visigothorum.docx
adsigno,Lex Visigothorum.docx
adsisto,Lex Visigothorum.docx
adsocio,Lex Visigothorum.docx
adsoleo,Lex Visigothorum.docx
adsto,Lex Visigothorum.docx
adstringo,Lex Visigothorum.docx
adsum,Lex Visigothorum.docx
adsumo,Lex Visigothorum.docx
adsuo,Lex Visigothorum.docx
adtendo,Lex Visigothorum.docx
adtingo,Lex Visigothorum.docx
adtollo,Lex Visigothorum.docx
adtraho,Lex Visigothorum.docx
adtribuo,Lex Visigothorum.docx
adulter,Lex Visigothorum.docx
adultera,Lex Visigothorum.docx
adulterinus,Lex Visigothorum.docx
adulterium,Lex Visigothorum.docx
adultero,Lex Visigothorum.docx
adumbratus,Lex Visigothorum.docx
advena,Lex Visigothorum.docx
advenio,Lex Visigothorum.docx
adversaria,Lex Visigothorum.docx
adversarius,Lex Visigothorum.docx
adversitas,Lex Visigothorum.docx
adversor,Lex Visigothorum.docx
adversus,Lex Visigothorum.docx
advivo,Lex Visigothorum.docx
advocatus,Lex Visigothorum.docx
advoco,Lex Visigothorum.docx
aequalis,Lex Visigothorum.docx
ager,Lex Visigothorum.docx
agger,Lex Visigothorum.docx
agito,Lex Visigothorum.docx
agnatio,Lex Visigothorum.docx
agnitio,Lex Visigothorum.docx
agnosco,Lex Visigothorum.docx
ago,Lex Visigothorum.docx
aiquus,Lex Visigothorum.docx
ajo,Lex Visigothorum.docx
alacer,Lex Visigothorum.docx
alapa,Lex Visigothorum.docx
alibi,Lex Visigothorum.docx
alicubi,Lex Visigothorum.docx
alicum,Lex Visigothorum.docx
alieno,Lex Visigothorum.docx
alienum,Lex Visigothorum.docx
alienus,Lex Visigothorum.docx
alioquin,Lex Visigothorum.docx
aliquamdiu,Lex Visigothorum.docx
aliquando,Lex Visigothorum.docx
aliquantulum,Lex Visigothorum.docx
aliquatenus,Lex Visigothorum.docx
aliqui,Lex Visigothorum.docx
aliquis,Lex Visigothorum.docx
alito,Lex Visigothorum.docx
aliud,Lex Visigothorum.docx
alium,Lex Visigothorum.docx
alius,Lex Visigothorum.docx
altar,Lex Visigothorum.docx
altarium,Lex Visigothorum.docx
alter,Lex Visigothorum.docx
altercor,Lex Visigothorum.docx
alteruter,Lex Visigothorum.docx
alto,Lex Visigothorum.docx
alveus,Lex Visigothorum.docx
amaritudo,Lex Visigothorum.docx
amarus,Lex Visigothorum.docx
amator,Lex Visigothorum.docx
ambe,Lex Visigothorum.docx
ambigo,Lex Visigothorum.docx
ambiguitas,Lex Visigothorum.docx
ambiguum,Lex Visigothorum.docx
ambio,Lex Visigothorum.docx
ambitio,Lex Visigothorum.docx
ambo,Lex Visigothorum.docx
ambobus,Lex Visigothorum.docx
ambulo,Lex Visigothorum.docx
ames,Lex Visigothorum.docx
amica,Lex Visigothorum.docx
amicio,Lex Visigothorum.docx
amicitia,Lex Visigothorum.docx
amicus,Lex Visigothorum.docx
amissio,Lex Visigothorum.docx
amita,Lex Visigothorum.docx
amitinus,Lex Visigothorum.docx
amitto,Lex Visigothorum.docx
amodo,Lex Visigothorum.docx
amoueo,Lex Visigothorum.docx
ample,Lex Visigothorum.docx
amplecto,Lex Visigothorum.docx
amplector,Lex Visigothorum.docx
amplitudo,Lex Visigothorum.docx
amputatio,Lex Visigothorum.docx
amputo,Lex Visigothorum.docx
anathemo,Lex Visigothorum.docx
ancilla,Lex Visigothorum.docx
ancillo,Lex Visigothorum.docx
angaria,Lex Visigothorum.docx
angelus,Lex Visigothorum.docx
angulus,Lex Visigothorum.docx
angustia,Lex Visigothorum.docx
anima,Lex Visigothorum.docx
animadversio,Lex Visigothorum.docx
animal,Lex Visigothorum.docx
animo,Lex Visigothorum.docx
animus,Lex Visigothorum.docx
anniculus,Lex Visigothorum.docx
annona,Lex Visigothorum.docx
annonarius,Lex Visigothorum.docx
annositas,Lex Visigothorum.docx
annosus,Lex Visigothorum.docx
annus,Lex Visigothorum.docx
annuum,Lex Visigothorum.docx
antea,Lex Visigothorum.docx
antecessor,Lex Visigothorum.docx
anteeo,Lex Visigothorum.docx
antepono,Lex Visigothorum.docx
antequam,Lex Visigothorum.docx
anterior,Lex Visigothorum.docx
antes,Lex Visigothorum.docx
antique,Lex Visigothorum.docx
antiqui,Lex Visigothorum.docx
antiquitus,Lex Visigothorum.docx
antiquo,Lex Visigothorum.docx
anulus,Lex Visigothorum.docx
anxie,Lex Visigothorum.docx
anxo,Lex Visigothorum.docx
aperio,Lex Visigothorum.docx
apex,Lex Visigothorum.docx
apostata,Lex Visigothorum.docx
apostatice,Lex Visigothorum.docx
apostoli,Lex Visigothorum.docx
apostolicus,Lex Visigothorum.docx
apostolus,Lex Visigothorum.docx
appareo,Lex Visigothorum.docx
apparitio,Lex Visigothorum.docx
apparo,Lex Visigothorum.docx
appello,Lex Visigothorum.docx
applico,Lex Visigothorum.docx
appono,Lex Visigothorum.docx
apprehendo,Lex Visigothorum.docx
approbo,Lex Visigothorum.docx
approximo,Lex Visigothorum.docx
apto,Lex Visigothorum.docx
apud,Lex Visigothorum.docx
aqua,Lex Visigothorum.docx
aratrum,Lex Visigothorum.docx
arbitrium,Lex Visigothorum.docx
arbitror,Lex Visigothorum.docx
arbor,Lex Visigothorum.docx
arca,Lex Visigothorum.docx
arcanum,Lex Visigothorum.docx
arceo,Lex Visigothorum.docx
archivum,Lex Visigothorum.docx
arcus,Lex Visigothorum.docx
ardens,Lex Visigothorum.docx
ardeo,Lex Visigothorum.docx
ardor,Lex Visigothorum.docx
ardue,Lex Visigothorum.docx
arduum,Lex Visigothorum.docx
arduus,Lex Visigothorum.docx
argentarius,Lex Visigothorum.docx
argenteus,Lex Visigothorum.docx
argentum,Lex Visigothorum.docx
argumentatio,Lex Visigothorum.docx
argumentum,Lex Visigothorum.docx
arguo,Lex Visigothorum.docx
aridus,Lex Visigothorum.docx
ariolus,Lex Visigothorum.docx
arma,Lex Visigothorum.docx
armentum,Lex Visigothorum.docx
aro,Lex Visigothorum.docx
arra,Lex Visigothorum.docx
ars,Lex Visigothorum.docx
articulus,Lex Visigothorum.docx
artifex,Lex Visigothorum.docx
artificium,Lex Visigothorum.docx
artus,Lex Visigothorum.docx
aruspex,Lex Visigothorum.docx
arvum,Lex Visigothorum.docx
arx,Lex Visigothorum.docx
ascendo,Lex Visigothorum.docx
ascensio,Lex Visigothorum.docx
ascensor,Lex Visigothorum.docx
aspectus,Lex Visigothorum.docx
aspicio,Lex Visigothorum.docx
aspiro,Lex Visigothorum.docx
asporto,Lex Visigothorum.docx
assero,Lex Visigothorum.docx
assummo,Lex Visigothorum.docx
astruo,Lex Visigothorum.docx
astutia,Lex Visigothorum.docx
astutus,Lex Visigothorum.docx
atauia,Lex Visigothorum.docx
atauus,Lex Visigothorum.docx
atque,Lex Visigothorum.docx
atrocitas,Lex Visigothorum.docx
atrox,Lex Visigothorum.docx
attempto,Lex Visigothorum.docx
attento,Lex Visigothorum.docx
attestatio,Lex Visigothorum.docx
aucto,Lex Visigothorum.docx
auctor,Lex Visigothorum.docx
auctoritas,Lex Visigothorum.docx
audacter,Lex Visigothorum.docx
audax,Lex Visigothorum.docx
audeo,Lex Visigothorum.docx
audientia,Lex Visigothorum.docx
audio,Lex Visigothorum.docx
auditor,Lex Visigothorum.docx
auditus,Lex Visigothorum.docx
aufero,Lex Visigothorum.docx
augeo,Lex Visigothorum.docx
augmento,Lex Visigothorum.docx
augmentum,Lex Visigothorum.docx
augurium,Lex Visigothorum.docx
auiditas,Lex Visigothorum.docx
auidus,Lex Visigothorum.docx
auius,Lex Visigothorum.docx
aureus,Lex Visigothorum.docx
aurifex,Lex Visigothorum.docx
auris,Lex Visigothorum.docx
auro,Lex Visigothorum.docx
aurum,Lex Visigothorum.docx
ausus,Lex Visigothorum.docx
aut,Lex Visigothorum.docx
autem,Lex Visigothorum.docx
autoritas,Lex Visigothorum.docx
auus,Lex Visigothorum.docx
auxilium,Lex Visigothorum.docx
averto,Lex Visigothorum.docx
avia,Lex Visigothorum.docx
avis,Lex Visigothorum.docx
avorto,Lex Visigothorum.docx
avunculus,Lex Visigothorum.docx
ballista,Lex Visigothorum.docx
baptisma,Lex Visigothorum.docx
baptismum,Lex Visigothorum.docx
baptizo,Lex Visigothorum.docx
barbio,Lex Visigothorum.docx
basilica,Lex Visigothorum.docx
beatum,Lex Visigothorum.docx
beatus,Lex Visigothorum.docx
bellicum,Lex Visigothorum.docx
bellicus,Lex Visigothorum.docx
bello,Lex Visigothorum.docx
bellum,Lex Visigothorum.docx
bene,Lex Visigothorum.docx
benedico,Lex Visigothorum.docx
benedictio,Lex Visigothorum.docx
beneficium,Lex Visigothorum.docx
beneplaceo,Lex Visigothorum.docx
biduum,Lex Visigothorum.docx
biennium,Lex Visigothorum.docx
bifarie,Lex Visigothorum.docx
biformis,Lex Visigothorum.docx
bini,Lex Visigothorum.docx
bios,Lex Visigothorum.docx
blasphemator,Lex Visigothorum.docx
blasphemia,Lex Visigothorum.docx
blasphemo,Lex Visigothorum.docx
boni,Lex Visigothorum.docx
bonum,Lex Visigothorum.docx
bonus,Lex Visigothorum.docx
bos,Lex Visigothorum.docx
breue,Lex Visigothorum.docx
breuitas,Lex Visigothorum.docx
brevis,Lex Visigothorum.docx
bruma,Lex Visigothorum.docx
brutus,Lex Visigothorum.docx
bubus,Lex Visigothorum.docx
buccellaris,Lex Visigothorum.docx
buccellarius,Lex Visigothorum.docx
caballus,Lex Visigothorum.docx
cado,Lex Visigothorum.docx
calamitas,Lex Visigothorum.docx
calciamentum,Lex Visigothorum.docx
calco,Lex Visigothorum.docx
calix,Lex Visigothorum.docx
callide,Lex Visigothorum.docx
calliditas,Lex Visigothorum.docx
callidus,Lex Visigothorum.docx
calumnia,Lex Visigothorum.docx
calx,Lex Visigothorum.docx
caminus,Lex Visigothorum.docx
caneo,Lex Visigothorum.docx
cani,Lex Visigothorum.docx
canon,Lex Visigothorum.docx
canonicus,Lex Visigothorum.docx
capillus,Lex Visigothorum.docx
capio,Lex Visigothorum.docx
capitalis,Lex Visigothorum.docx
capitulum,Lex Visigothorum.docx
captio,Lex Visigothorum.docx
captivitas,Lex Visigothorum.docx
caput,Lex Visigothorum.docx
caracter,Lex Visigothorum.docx
carcer,Lex Visigothorum.docx
carcerarius,Lex Visigothorum.docx
careo,Lex Visigothorum.docx
caritas,Lex Visigothorum.docx
carnalis,Lex Visigothorum.docx
carnis,Lex Visigothorum.docx
caro,Lex Visigothorum.docx
carrico,Lex Visigothorum.docx
caste,Lex Visigothorum.docx
castellum,Lex Visigothorum.docx
castigatio,Lex Visigothorum.docx
castitas,Lex Visigothorum.docx
castra,Lex Visigothorum.docx
castratio,Lex Visigothorum.docx
castro,Lex Visigothorum.docx
castus,Lex Visigothorum.docx
casus,Lex Visigothorum.docx
cataplus,Lex Visigothorum.docx
catena,Lex Visigothorum.docx
catholica,Lex Visigothorum.docx
catholice,Lex Visigothorum.docx
catholicus,Lex Visigothorum.docx
catus,Lex Visigothorum.docx
cauda,Lex Visigothorum.docx
caueo,Lex Visigothorum.docx
causa,Lex Visigothorum.docx
causatio,Lex Visigothorum.docx
causidicus,Lex Visigothorum.docx
causor,Lex Visigothorum.docx
causos,Lex Visigothorum.docx
caute,Lex Visigothorum.docx
cautela,Lex Visigothorum.docx
cautio,Lex Visigothorum.docx
cautus,Lex Visigothorum.docx
cecus,Lex Visigothorum.docx
cedo,Lex Visigothorum.docx
celeber,Lex Visigothorum.docx
celebratus,Lex Visigothorum.docx
celebritas,Lex Visigothorum.docx
celebro,Lex Visigothorum.docx
celer,Lex Visigothorum.docx
celo,Lex Visigothorum.docx
celsitudo,Lex Visigothorum.docx
celum,Lex Visigothorum.docx
censeo,Lex Visigothorum.docx
censio,Lex Visigothorum.docx
censitus,Lex Visigothorum.docx
centenarius,Lex Visigothorum.docx
centenus,Lex Visigothorum.docx
centum,Lex Visigothorum.docx
cerno,Lex Visigothorum.docx
certe,Lex Visigothorum.docx
certo,Lex Visigothorum.docx
certus,Lex Visigothorum.docx
cessio,Lex Visigothorum.docx
cesso,Lex Visigothorum.docx
ceteri,Lex Visigothorum.docx
ceterum,Lex Visigothorum.docx
chorda,Lex Visigothorum.docx
christicolus,Lex Visigothorum.docx
cibus,Lex Visigothorum.docx
cingo,Lex Visigothorum.docx
cio,Lex Visigothorum.docx
circueo,Lex Visigothorum.docx
circuitus,Lex Visigothorum.docx
circulus,Lex Visigothorum.docx
circumcido,Lex Visigothorum.docx
circumcisio,Lex Visigothorum.docx
circumcisor,Lex Visigothorum.docx
circumdo,Lex Visigothorum.docx
circumvenio,Lex Visigothorum.docx
circumventio,Lex Visigothorum.docx
citatus,Lex Visigothorum.docx
citer,Lex Visigothorum.docx
ciuitas,Lex Visigothorum.docx
ciuito,Lex Visigothorum.docx
civis,Lex Visigothorum.docx
clades,Lex Visigothorum.docx
clamo,Lex Visigothorum.docx
clamor,Lex Visigothorum.docx
clare,Lex Visigothorum.docx
claresco,Lex Visigothorum.docx
claritas,Lex Visigothorum.docx
claro,Lex Visigothorum.docx
classicum,Lex Visigothorum.docx
claudico,Lex Visigothorum.docx
claudo,Lex Visigothorum.docx
claudus,Lex Visigothorum.docx
claustra,Lex Visigothorum.docx
clauus,Lex Visigothorum.docx
clavis,Lex Visigothorum.docx
clemens,Lex Visigothorum.docx
clementia,Lex Visigothorum.docx
clericus,Lex Visigothorum.docx
clerus,Lex Visigothorum.docx
cludo,Lex Visigothorum.docx
coactus,Lex Visigothorum.docx
coarto,Lex Visigothorum.docx
codex,Lex Visigothorum.docx
coeo,Lex Visigothorum.docx
coerceo,Lex Visigothorum.docx
coercitio,Lex Visigothorum.docx
cogitatio,Lex Visigothorum.docx
cogito,Lex Visigothorum.docx
cognatio,Lex Visigothorum.docx
cognatus,Lex Visigothorum.docx
cognitio,Lex Visigothorum.docx
cognitus,Lex Visigothorum.docx
cognosco,Lex Visigothorum.docx
cogo,Lex Visigothorum.docx
coheres,Lex Visigothorum.docx
coinquino,Lex Visigothorum.docx
collatio,Lex Visigothorum.docx
collectus,Lex Visigothorum.docx
collido,Lex Visigothorum.docx
colligatio,Lex Visigothorum.docx
